#,AC_NAME,AC_NO,NAME,PARTY,VOTES,YEAR,polled_votes,vote_percent
2,Taleigao,12,Dattaprasad Naik,BJP,8679.0,2017,22556.0,38.48
3,Taleigao,12,Cecille Rodrigues,AAP,1976.0,2017,22556.0,8.76
5,Taleigao,12,Vijay V. More,IND,115.0,2017,22556.0,0.51
4,Taleigao,12,None Of The Above,NOTA,252.0,2017,22556.0,1.12
1,St. Cruz,13,Antonio Caetano  Fernandes,INC,6202.0,2017,22215.0,27.92
2,St. Cruz,13,Hemant Dinanath Golatkar,BJP,5560.0,2017,22215.0,25.03
3,St. Cruz,13,Rodolfo Louis Fernandes,IND,5262.0,2017,22215.0,23.69
4,St. Cruz,13,Prakash Gopi Naik,MAG,2707.0,2017,22215.0,12.19
5,St. Cruz,13,Jose Vincent Gomes,AAP,1712.0,2017,22215.0,7.71
7,St. Cruz,13,Helena Lourenco,IND,227.0,2017,22215.0,1.02
8,St. Cruz,13,Pedro Caitano Pires Alias Peter Pires,CPI,106.0,2017,22215.0,0.48
9,St. Cruz,13,Shakeel Jamal Shaikh,NCP,75.0,2017,22215.0,0.34
10,St. Cruz,13,Jose Lopes,IND,61.0,2017,22215.0,0.27
6,St. Cruz,13,None Of The Above,NOTA,303.0,2017,22215.0,1.36
1,St. Andre,14,Francisco Silveira,INC,8087.0,2017,16554.0,48.85
2,St. Andre,14,Ramrao Surya Naik Wagh,BJP,3017.0,2017,16554.0,18.23
3,St. Andre,14,Jagdish Umakant Bhobe,MAG,2393.0,2017,16554.0,14.46
4,St. Andre,14,Dhaku Arjun Madkaikar,IND,1285.0,2017,16554.0,7.76
5,St. Andre,14,Rama Gurudas Kankonkar,AAP,979.0,2017,16554.0,5.91
6,St. Andre,14,Dattaram Naguesh Chari,NCP,325.0,2017,16554.0,1.96
8,St. Andre,14,Simao Aleixo Caiado,IND,143.0,2017,16554.0,0.86
9,St. Andre,14,Sunil Savlo Kerkar,IND,97.0,2017,16554.0,0.59
10,St. Andre,14,Leocardio A. D. Monteiro,GSRP,47.0,2017,16554.0,0.28
11,St. Andre,14,Ashwin Menino Rosario,IND,29.0,2017,16554.0,0.18
7,St. Andre,14,None Of The Above,NOTA,152.0,2017,16554.0,0.92
1,Cumbarjua,15,Pandurang Madkaikar,BJP,12395.0,2017,20556.0,60.3
2,Cumbarjua,15,Xavier Fialho,INC,3961.0,2017,20556.0,19.27
3,Cumbarjua,15,Prakash Dattaram Naik,AAP,2394.0,2017,20556.0,11.65
4,Cumbarjua,15,Vishal Shambu Volvoikar,IND,990.0,2017,20556.0,4.82
5,Cumbarjua,15,Prasad Harmalkar,IND,468.0,2017,20556.0,2.28
6,Cumbarjua,15,None Of The Above,NOTA,348.0,2017,20556.0,1.69
1,Maem,16,Pravin  Zantye,BJP,12430.0,2017,24108.0,51.56
2,Maem,16,Santosh Kumar Sawant,INC,7456.0,2017,24108.0,30.93
3,Maem,16,Atmaram Vaman Gaonker,GSM,2317.0,2017,24108.0,9.61
4,Maem,16,Subhash Narsinha Kinalkar,NCP,528.0,2017,24108.0,2.19
5,Maem,16,Ajeetsingh Vamanrao Rane,AAP,525.0,2017,24108.0,2.18
7,Maem,16,Prabhakar Laximan Gaonkar,IND,174.0,2017,24108.0,0.72
8,Maem,16,Deepkumar D Mapari,IND,159.0,2017,24108.0,0.66
9,Maem,16,Ashok Anant Gaonkar,IND,142.0,2017,24108.0,0.59
6,Maem,16,None Of The Above,NOTA,377.0,2017,24108.0,1.56
1,Sanquelim,17,Dr. Pramod Pandurang Sawant,BJP,10058.0,2017,23700.0,42.44
2,Sanquelim,17,Dharmesh Saglani,INC,7927.0,2017,23700.0,33.45
3,Sanquelim,17,Suresh Amonkar,GSM,3831.0,2017,23700.0,16.16
